Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-006	1-2	10	μοι	postag	p1s---cd-	p-s---md-	
0085-006	1-2	12	τ’	postag	b--------	g--------	
0085-006	3	2	γὰρ	postag	d--------	g--------	
0085-006	3	6	καὶ	postag	b--------	c--------	
0085-006	4-7	2	δ’	postag	d--------	g--------	
0085-006	4-7	11	πλόκαμον	head	10	15	
0085-006	8	2	δεύτερον	relation	ADV	AtvV	
0085-006	8	3	δὲ	postag	b--------	g--------	
0085-006	8	3	δὲ	relation	AuxY	COORD	
0085-006	8	3	δὲ	head	6	0	
0085-006	8	6	[0]	lemma	_	/	
0085-006	8	6	[0]	relation	PRED	PRED_CO	
0085-006	8	6	[0]	head	0	3	
0085-006	10-11	2	γὰρ	postag	d--------	g--------	
0085-006	10-11	10	οὐ	postag	d--------	g--------	
0085-006	10-11	11	δ’	postag	b--------	g--------	
0085-006	10-11	12	ἐξέτεινα	head	11	16	
0085-006	10-11	16	νεκροῦ	postag	a-s---mg-	n-s---mg-	
0085-006	10	1	τί	postag	p-s---na-	a-s---na-	
0085-006	10-12	1	τίς	postag	p-s---cn-	a-s---fn-	
0085-006	10-12	2	ποθ’	postag	d--------	g--------	
0085-006	10-12	2	ποθ’	relation	ADV	AuxZ	
0085-006	10-12	9	πρέπουσα	relation	ADV	ATV	
0085-006	12	1	ποίᾳ	postag	p-s---fd-	a-s---fd-	
0085-006	13	1	πότερα	lemma	πότερον	πότερος	
0085-006	13	1	πότερα	postag	d--------	a-p---na-	
0085-006	14-15	1	ἢ	postag	b--------	c--------	
0085-006	14-15	1	ἢ	relation	AuxY	COORD	
0085-006	14-15	1	ἢ	head	6	0	
0085-006	14-15	5	ἐπεικάσας	relation	ADV	AtvV	
0085-006	14-15	6	τύχω	relation	PRED	PRED_CO	
0085-006	14-15	6	τύχω	head	0	1	
0085-006	14-15	7	χοὰς	relation	OBJ	OBJ_AP	
0085-006	14-15	7	χοὰς	head	8	12	
0085-006	14-15	8	φερούσας	relation	ADV	ATV	
0085-006	14-15	10	μειλίγματα	relation	APOS	OBJ_AP	
0085-006	14-15	10	μειλίγματα	head	7	12	
0085-006	16	1	οὐδέν	postag	p-s---nn-	a-s---nn-	
0085-006	16	2	ποτ’	postag	d--------	g--------	
0085-006	16	2	ποτ’	relation	ADV	AuxZ	
0085-006	16	3	ἄλλο	postag	p-s---nn-	a-s---nn-	
0085-006	16	5	[0]	lemma	_	/	
0085-006	16-18	1	καὶ	postag	d--------	c--------	
0085-006	16-18	2	γὰρ	postag	d--------	g--------	
0085-006	16-18	3	Ἠλέκτραν	relation	SBJ	SBJ_AP	
0085-006	16-18	3	Ἠλέκτραν	head	5	13	
0085-006	16-18	6	ἀδελφὴν	relation	APOS	SBJ_AP	
0085-006	16-18	6	ἀδελφὴν	head	3	13	
0085-006	18-19	5	με	postag	p1s---ca-	p-s---ma-	
0085-006	18-19	11	δὲ	postag	b--------	g--------	
0085-006	18-19	14	ἐμοί	postag	p1s---cd-	p-s---md-	
0085-006	20-21	7	ἂν	postag	d--------	g--------	
0085-006	20-21	15	[0]	lemma	_	/	
0085-006	22-23	1	ἰαλτὸς	relation	ADV	AtvV	
0085-006	22-23	6	προπομπὸς	relation	ADV	AtvV	
0085-006	24-25	4	ἀμυγμοῖς	relation	OBJ	OBJ_AP	
0085-006	24-25	4	ἀμυγμοῖς	head	1	9	
0085-006	24-25	6	ἄλοκι	relation	APOS	OBJ_AP	
0085-006	24-25	6	ἄλοκι	head	4	9	
0085-006	26	3	δ’	postag	b--------	g--------	
0085-006	26	3	δ’	relation	AuxY	COORD	
0085-006	26	3	δ’	head	5	0	
0085-006	26	5	βόσκεται	relation	PRED	PRED_CO	
0085-006	26	5	βόσκεται	head	0	3	
0085-006	26	6	κέαρ	lemma	κέαρ	κῆρ	
0085-006	27-31	2	δ’	postag	d--------	g--------	
0085-006	27-31	2	δ’	relation	AuxY	COORD	
0085-006	27-31	2	δ’	head	5	0	
0085-006	27-31	5	ἔφλαδον	relation	PRED	PRED_CO	
0085-006	27-31	5	ἔφλαδον	head	0	2	
0085-006	32-36	1	τορὸς	relation	ADV	ATV	
0085-006	32-36	2	δὲ	postag	d--------	g--------	
0085-006	32-36	23	βαρὺς	relation	ADV	AtvV	
0085-006	37-41	2	τε	postag	b--------	g--------	
0085-006	37-41	2	τε	relation	AuxY	COORD	
0085-006	37-41	2	τε	head	6	0	
0085-006	37-41	6	ἔλακον	relation	PRED	PRED_CO	
0085-006	37-41	6	ἔλακον	head	0	2	
0085-006	37-41	7	ὑπέγγυοι	relation	ADV	ATV	
0085-006	37-41	9	τοὺς	postag	l-p---ma-	p-p---ma-	
0085-006	37-41	15	τ’	postag	b--------	g--------	
0085-006	42-46	8	γαῖα	lemma	γῆ	γαῖα	
0085-006	42-46	12	μ’	postag	p1s---ca-	p-s---fa-	
0085-006	46-47	1	φοβοῦμαι	form	φοβοῦμαι	μαι	
0085-006	46-47	2	δ’	postag	d--------	g--------	
0085-006	46-47	2	δ’	head	1	4	
0085-006	46-47	3	ἔπος	head	5	8	
0085-006	46-47	4	τόδ’	head	3	6	
0085-006	46-47	5	ἐκβαλεῖν	head	1	4	
0085-006	48	1	τί	postag	p-s---nn-	a-s---nn-	
0085-006	48	2	γὰρ	postag	d--------	g--------	
0085-006	48	8	[0]	lemma	_	/	
0085-006	49-50	3	ἑστία	relation	ExD_CO	ExD	
0085-006	49-50	6	κατασκαφαὶ	relation	ExD_CO	ExD	
0085-006	49-50	9	[0]	lemma	_	/	
0085-006	55-58	2	δ’	postag	d--------	g--------	
0085-006	55-58	2	δ’	relation	AuxY	COORD	
0085-006	55-58	2	δ’	head	15	0	
0085-006	55-58	6	τὸ	postag	l-s---na-	p-s---na-	
0085-006	55-58	11	τε	postag	b--------	g--------	
0085-006	55-58	15	ἀφίσταται	relation	PRED	PRED_CO	
0085-006	55-58	15	ἀφίσταται	head	0	2	
0085-006	58-59	1	φοβεῖται	form	φοβεῖται	ται	
0085-006	58-59	1	φοβεῖται	relation	PRED	PRED_CO	
0085-006	58-59	1	φοβεῖται	head	0	5	
0085-006	58-59	2	δέ	postag	d--------	g--------	
0085-006	58-59	2	δέ	relation	AuxY	COORD	
0085-006	58-59	2	δέ	head	1	0	
0085-006	58-59	3	τις	postag	p-s---cn-	p-s---mn-	
0085-006	58-59	3	τις	head	1	4	
0085-006	59-60	2	δ’	postag	d--------	g--------	
0085-006	59-60	3	εὐτυχεῖν	relation	SBJ	SBJ_AP	
0085-006	59-60	3	εὐτυχεῖν	head	14	4	
0085-006	59-60	4	,	relation	AuxX	APOS	
0085-006	59-60	4	,	head	0	14	
0085-006	59-60	5	τόδ’	relation	APOS	SBJ_AP	
0085-006	59-60	5	τόδ’	head	3	4	
0085-006	59-60	9	τε	postag	b--------	g--------	
0085-006	59-60	10	καὶ	postag	b--------	c--------	
0085-006	59-60	12	πλέον	lemma	πολύς	πλείων	
0085-006	59-60	14	[0]	lemma	_	/	
0085-006	61-65	2	δ’	postag	d--------	g--------	
0085-006	61-65	5	ταχεῖα	relation	ADV	ATV	
0085-006	61-65	6	τοὺς	postag	l-p---ma-	p-p---ma-	
0085-006	61-65	7	μὲν	postag	d--------	g--------	
0085-006	61-65	12	δ’	postag	b--------	g--------	
