Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-007	1	2	μὲν	postag	d--------	g--------
0085-007	1	9	γαῖαν	form	γαῖαν	Γαῖαν
0085-007	1	9	γαῖαν	lemma	γῆ	γαῖα
0085-007	1	2	δὲ	postag	d--------	g--------	
0085-007	1	2	δὲ	relation	AuxY	COORD
0085-007	1	2	δὲ	head	19	0
0085-007	1	3	τῆς	postag	l-s---fg-	p-s---fg-
0085-007	1	4	θέμιν	form	θέμιν	Θέμιν
0085-007	1	7	δὴ	postag	d--------	g--------
0085-007	1	7	δὴ	relation	AuxY	AuxZ
0085-007	1	10	δευτέρα	relation	ADV	ATV
0085-007	1	15	ὡς	postag	c--------	d--------
0085-007	1	17	τις	postag	p-s---cn-	p-s---mn-
0085-007	1	19	[0]	lemma	_	/
0085-007	1	19	[0]	relation	PRED	PRED_CO
0085-007	1	19	[0]	head	0	2
0085-007	1	20	[1]	lemma	_	/
0085-007	1	2	δὲ	postag	d--------	g--------
0085-007	1	2	δὲ	relation	AuxY	COORD
0085-007	1	2	δὲ	head	19	0
0085-007	1	9	οὐ	lemma	οὐ	οὐδός
0085-007	1	9	οὐ	postag	d--------	n-s---mv-
0085-007	1	10	δὲ	postag	b--------	g--------
0085-007	1	13	τινός	postag	p-s---cg-	p-s---mg-
0085-007	1	16	ἄλλη	postag	p-s---fn-	a-s---fn-
0085-007	1	17	παῖς	postag	n-s---cn-	n-s---fn-
0085-007	1	17	παῖς	relation	SBJ	SBJ_AP
0085-007	1	17	παῖς	head	19	20
0085-007	1	18	χθονὸς	form	χθονὸς	Χθονὸς
0085-007	1	19	καθέζετο	postag	v3saim---	v3saia---	y
0085-007	1	19	καθέζετο	relation	PRED	PRED_CO
0085-007	1	19	καθέζετο	head	0	2
0085-007	1	20	,	relation	AuxX	APOS
0085-007	1	20	,	head	0	19
0085-007	1	21	φοίβη	form	φοίβη	Φοίβη
0085-007	1	21	φοίβη	relation	APOS	SBJ_AP
0085-007	1	21	φοίβη	head	17	20
0085-007	1	1	δίδωσι	relation	PRED	PRED_CO
0085-007	1	1	δίδωσι	head	0	2
0085-007	1	2	δ’	postag	d--------	g--------
0085-007	1	2	δ’	relation	AuxY	COORD
0085-007	1	2	δ’	head	1	0
0085-007	1	5	δόσιν	relation	ADV	AtvV
0085-007	1	2	φοίβης	form	φοίβης	Φοίβης
0085-007	1	3	δ’	postag	b--------	g--------
0085-007	1	3	δ’	relation	AuxY	COORD
0085-007	1	3	δ’	head	5	0
0085-007	1	5	ἔχει	relation	PRED	PRED_CO
0085-007	1	5	ἔχει	head	0	3
0085-007	1	2	δὲ	postag	d--------	g--------
0085-007	1	2	δὲ	relation	AuxY	COORD
0085-007	1	2	δὲ	head	18	0
0085-007	1	5	τε	postag	b--------	g--------
0085-007	1	17	γαῖαν	lemma	γῆ	γαῖα
0085-007	1	18	ἦλθε	relation	PRED	PRED_CO
0085-007	1	18	ἦλθε	head	0	2
0085-007	1	20	θ’	postag	b--------	g--------
0085-007	1	2	δ’	postag	d--------	g--------
0085-007	1	3	αὐτὸν	postag	p-s---ma-	a-s---ma-
0085-007	1	4	καὶ	postag	b--------	c--------
