Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-001	1-4	2	μὲν	postag	d--------	g--------	
0085-001	1-4	4	ἐπίδοι	lemma	ἐφοράω	ἐπεῖδον	
0085-001		22	παίδων	postag	n-p---cg-	n-p---mg-	
0085-001		23	γαῖαν	lemma	γῆ	γαῖα	
0085-001		24	,	head	39	38	
0085-001		25	ὅθεν	head	39	38	
0085-001		27	γένος	head	39	38	
0085-001		31	βοὸς	postag	n-s---cg-	n-s---fg-	
0085-001		34	κ-	head	41	40	
0085-001		36	ἐπιπνοίας	head	35	34.1	
0085-001		41	[0]	head	38	37	
0085-001	19-22	1	τίν’	postag	p-s---ca-	a-s---fa-	
0085-001	19-22	2	ἂν	postag	d--------	g--------	
0085-001	19-22	3	οὖν	postag	d--------	g--------	
0085-001	19-22	3	οὖν	relation	AuxY	AuxZ	
0085-001	19-22	3	οὖν	head	8	1	
0085-001	19-22	6	μᾶλλον	lemma	μάλα	μᾶλλον	
0085-001	19-22	6	μᾶλλον	postag	d-------c	d--------	
0085-001	19-22	6	μᾶλλον	relation	ADV	AuxZ	
0085-001	19-22	8	ἀφικοίμεθα	postag	v1paom---	v1pao----	
0085-001	19-22	12	ἐγχειριδίοις	relation	ADV	ADV_AP	
0085-001	19-22	12	ἐγχειριδίοις	head	9	16	
0085-001	19-22	14	κλάδοισιν	relation	APOS	ADV_AP	
0085-001	19-22	14	κλάδοισιν	head	12	16	
0085-001	23-29	5	γῆ	postag	n-s---fv-	n-s---fn-	
0085-001	23-29	7	καὶ	postag	b--------	c--------	
0085-001	23-29	12	τε	postag	b--------	g--------	
0085-001	23-29	15	καὶ	postag	b--------	c--------	
0085-001	23-29	16	βαρύτιμοι	relation	ADV	ATV	
0085-001	23-29	20	,	relation	AuxX	AuxY	
0085-001	23-29	21	καὶ	postag	b--------	c--------	
0085-001	23-29	22	Ζεὺς	relation	ExD_CO	ExD_AP_CO	
0085-001	23-29	22	Ζεὺς	head	21	25	
0085-001	23-29	25	,	relation	AuxX	APOS	
0085-001	23-29	25	,	head	0	21	
0085-001	23-29	26	οἰκοφύλαξ	relation	APOS	ExD_AP_CO	
0085-001	23-29	26	οἰκοφύλαξ	head	22	25	
0085-001	23-29	29	,	head	22	25	
0085-001	23-29	31	ἱκέτην	relation	ADV	ATV	
0085-001	29-33	2	δ’	postag	d--------	g--------	
0085-001	29-33	7	πρὶν	postag	c--------	d--------	
0085-001	29-33	10	τῆδ’	postag	p-s---fd-	a-s---fd-	
0085-001	29-33	18	πέμψατε	postag	v2pama---	v2paia---	
0085-001	33-39	2	δὲ	postag	d--------	g--------	
0085-001	33-39	2	δὲ	relation	AuxY	COORD	
0085-001	33-39	2	δὲ	head	16	0	
0085-001	33-39	5	,	head	0	8	
0085-001	33-39	8	τ’	postag	b--------	g--------	
0085-001	33-39	10	τ’	postag	b--------	g--------	
0085-001	33-39	16	ὄλοιντο	relation	PRED	PRED_CO	
0085-001	33-39	16	ὄλοιντο	head	0	2	
0085-001	33-39	18	πρίν	postag	c--------	d--------	
0085-001	33-39	19	ποτε	postag	d--------	g--------	
0085-001	33-39	19	ποτε	relation	ADV	AuxZ	
0085-001	33-39	29	ἀεκόντων	lemma	ἄκων	ἀέκων	
0085-001		13	βοὸς	postag	n-s---cg-	n-s----g-	
0085-001	45-48	2	δ’	postag	d--------	g--------	
0085-001	45-48	9	τ’	postag	b--------	g--------	
0085-001	49-55	13	μνασαμένα	lemma	μιμνῄσκω	μιμνήσκω	
0085-001	49-55	15	τά	postag	l-p---na-	p-p---na-	
0085-001	49-55	16	τε	postag	b--------	g--------	
0085-001	49-55	20	τεκμήρια	relation	ADV	ATV	
0085-001	49-55	24	δ’	postag	b--------	g--------	
0085-001	49-55	26	περ	lemma	περ	πέρ	
0085-001	49-55	26	περ	postag	d--------	g--------	
0085-001	49-55	30	[0]	lemma	_	/	
0085-001	56-57	2	δὲ	postag	d--------	g--------	
0085-001	56-57	4	τις	postag	p-s---cn-	p-s---mn-	
0085-001	58-62	2	δὲ	postag	d--------	g--------	
0085-001	58-62	4	τις	postag	p-s---cn-	p-s---mn-	
0085-001	58-62	7	ἔγγαιος	lemma	ἔγγαιος	ἐγγαιος	
0085-001	58-62	9	[οἰκτρὸν]	relation	ATR	UNDEFINED	
0085-001	58-62	9	[οἰκτρὸν]	head	8	0	
0085-001	58-62	10	ἀίων	lemma	ἀΐω	ἀίω	
