Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-004	1-3	18	μὴ	postag	d--------	g--------	
0085-004	4	2	μὲν	postag	d--------	g--------	
0085-004	4	3	γὰρ	postag	d--------	g--------	
0085-004	4	10	[0]	lemma	_	/	
0085-004	5-9	2	δ’	postag	d--------	g--------	
0085-004	5-9	3	αὖθ’	relation	ADV	AuxZ	
0085-004	5-9	3	αὖθ’	head	18	2	
0085-004	5-9	6	μὴ	postag	d--------	g--------	
0085-004	5-9	7	γένοιτο	postag	v3saom---	v3sao----	
0085-004	5-9	13	ἂν	postag	d--------	g--------	
0085-004	5-9	14	εἷς	postag	m-s---mn-	n-s---mn-	
0085-004	5-9	14	εἷς	relation	ADV	ATV	
0085-004	5-9	15	πολὺς	relation	ADV	ATV	
0085-004	5-9	24	θ’	postag	b--------	g--------	
0085-004	5-9	30	γένοιτο	postag	v3saom---	v3sao----	
0085-004	16	2	τε	postag	b--------	g--------	
0085-004	16	4	γῇ	form	γῇ	Γῇ	
0085-004	16	4	γῇ	relation	OBJ_CO	OBJ_AP_CO	
0085-004	16	4	γῇ	head	5	7	
0085-004	16	5	τε	postag	b--------	g--------	
0085-004	16	6	μητρί	relation	APOS	ATR	
0085-004	16	7	,	relation	AuxX	APOS	
0085-004	16	7	,	head	0	5	
0085-004	16	8	φιλτάτῃ	lemma	φίλος	φίλτατος	
0085-004	16	8	φιλτάτῃ	postag	a-s---fds	a-s---fd-	
0085-004	16	9	τροφῷ	relation	APOS	OBJ_AP_CO	
0085-004	16	9	τροφῷ	head	4	7	
0085-004	16	11	[0]	lemma	_	/	
0085-004	17-20	1	ἡ	postag	l-s---fn-	p-s---fn-	
0085-004	17-20	2	γὰρ	postag	d--------	g--------	
0085-004	17-20	3	νέους	relation	ADV	AtvV	
0085-004	17-20	14	οἰκητῆρας	relation	ADV	AtvV	
0085-004	21	1	καὶ	postag	d--------	c--------	
0085-004	21	3	μὲν	postag	d--------	g--------	
0085-004	22-23	2	γὰρ	postag	d--------	g--------	
0085-004	22-23	8	πλείω	lemma	πολύς	πλείων	
0085-004	22-23	12	κυρεῖ	relation	PRED	COORD	
0085-004	24-26	2	δ’	postag	d--------	g--------	
0085-004	24-26	3	ὡς	postag	c--------	d--------	
0085-004	24-26	5	μάντις	relation	SBJ	SBJ_AP	
0085-004	24-26	5	μάντις	head	6	7	
0085-004	24-26	7	,	relation	AuxX	APOS	
0085-004	24-26	7	,	head	0	6	
0085-004	24-26	9	βοτήρ	relation	APOS	SBJ_AP	
0085-004	24-26	9	βοτήρ	head	5	7	
0085-004	24-26	10	,	head	5	7	
0085-004	24-26	14	καὶ	postag	b--------	c--------	
0085-004	24-26	18	δίχα	relation	ADV	AuxP	
0085-004	24-26	25	[0]	lemma	_	/	
0085-004	27-29	1	οὗτος	postag	p-s---mn-	a-s---mn-	
0085-004	27-29	1	οὗτος	relation	SBJ	SBJ_AP	
0085-004	27-29	1	οὗτος	head	5	13	
0085-004	27-29	3	δεσπότης	relation	APOS	SBJ_AP	
0085-004	27-29	3	δεσπότης	head	1	13	
0085-004	27-29	6	μεγίστην	postag	a-s---fas	a-s---fa-	
0085-004	27-29	7	προσβολὴν	head	1	13	
0085-004	27-29	8	Ἀχαιίδα	lemma	Ἀχαιΐς	Ἀχαιίς	
0085-004	27-29	9	νυκτηγορεῖσθαι	head	1	13	
0085-004	27-29	10	κἀπιβουλεύσειν	head	1	13	
0085-004	30-35	3	τ’	postag	b--------	g--------	
0085-004	30-35	5	καὶ	postag	b--------	c--------	
0085-004	30-35	8	ὁρμᾶσθε	postag	v2ppse---	v2ppsa---	
0085-004	30-35	23	καὶ	postag	b--------	c--------	
0085-004	30-35	31	μη	postag	d--------	g--------	
0085-004	30-35	32	δ’	postag	b--------	g--------	
0085-004	36-37	2	δὲ	postag	d--------	g--------	
0085-004	36-37	3	κἀγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	36-37	4	καὶ	postag	b--------	c--------	
0085-004	36-37	9	τοὺς	postag	l-p---ma-	p-p---ma-	
0085-004	36-37	11	μὴ	postag	d--------	g--------	
0085-004	36-37	13	ὁδῷ	postag	n-s---fd-	n-s---md-	
0085-004	38	1	καὶ	postag	d--------	c--------	
0085-004	38	1	καὶ	relation	AuxY	COORD	
0085-004	38	1	καὶ	head	7	0	
0085-004	38	5	τι	relation	ADV	AuxZ	
0085-004	38	6	μὴ	postag	d--------	g--------	
0085-004	38	6	μὴ	relation	AuxZ	AuxY	
0085-004	38	7	ληφθῶ	head	0	1	
0085-004	39-41	1	Ἐτεόκλεες	lemma	Ἐτεοκλῆς	Ετεοκλῆς	
0085-004	39-41	1	Ἐτεόκλεες	relation	ExD	ExD_AP	
0085-004	39-41	1	Ἐτεόκλεες	head	7	2	
0085-004	39-41	2	,	relation	AuxX	APOS	
0085-004	39-41	2	,	head	0	7	
0085-004	39-41	5	ἄναξ	relation	APOS	ExD_AP	
0085-004	39-41	5	ἄναξ	head	1	2	
0085-004	39-41	6	,	head	1	2	
0085-004	39-41	8	σαφῆ	relation	ADV	ATV	
0085-004	39-41	14	αὐτὸς	postag	p-s---mn-	a-s---mn-	
0085-004	39-41	14	αὐτὸς	relation	ADV	ATV	
0085-004	39-41	16	δ’	postag	b--------	g--------	
0085-004	39-41	18	ἐγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	42-48	1	ἄνδρες	relation	SBJ	SBJ_AP	
0085-004	42-48	1	ἄνδρες	head	26	4	
0085-004	42-48	2	γὰρ	postag	d--------	g--------	
0085-004	42-48	4	,	relation	AuxX	APOS	
0085-004	42-48	4	,	head	0	26	
0085-004	42-48	6	λοχαγέται	relation	APOS	SBJ_AP	
0085-004	42-48	6	λοχαγέται	head	1	4	
0085-004	42-48	12	καὶ	postag	b--------	c--------	
0085-004	42-48	19	τ’	postag	b--------	g--------	
0085-004	42-48	23	καὶ	postag	b--------	c--------	
0085-004	42-48	25	φόβον	form	φόβον	Φόβον	
0085-004	42-48	27	ἢ	postag	b--------	c--------	
0085-004	42-48	34	βίᾳ	postag	n-s---fd-	n-p---fd-	
0085-004	42-48	36	ἢ	postag	b--------	c--------	
0085-004	42-48	38	θανόντες	lemma	θνῄσκω	θνήσκω	
0085-004	49-51	2	θ’	postag	b--------	g--------	
0085-004	49-51	2	θ’	relation	AuxY	COORD	
0085-004	49-51	2	θ’	head	12	0	
0085-004	49-51	3	αὑτῶν	postag	p-p---mg-	a-p---mg-	
0085-004	49-51	12	ἔστεφον	relation	PRED	PRED_CO	
0085-004	49-51	12	ἔστεφον	head	0	2	
0085-004	51	2	δ’	postag	d--------	g--------	
0085-004	51	3	οὔτις	postag	p-s---mn-	a-s---mn-	
0085-004	51	3	οὔτις	relation	ATR	PRED	
0085-004	52-53	2	γὰρ	postag	d--------	g--------	
0085-004	52-53	9	ὡς	postag	c--------	d--------	
0085-004	52-53	13	[0]	lemma	_	/	
0085-004	52-53	14	[1]	lemma	_	/	
0085-004	54	1	καὶ	postag	d--------	c--------	
0085-004	54	1	καὶ	relation	AuxY	COORD	
0085-004	54	1	καὶ	head	6	0	
