SentID	Subdoc	Speaker
1	1-2	Πυθιάς
2	2-4	Πυθιάς
3	4-7	Πυθιάς
4	7-8	Πυθιάς
5	8	Πυθιάς
6	9-11	Πυθιάς
7	12-14	Πυθιάς
8	15-16	Πυθιάς
9	17-18	Πυθιάς
10	19	Πυθιάς
11	20	Πυθιάς
12	21	Πυθιάς
13	22-23	Πυθιάς
14	24-26	Πυθιάς
15	27-29	Πυθιάς
16	30-31	Πυθιάς
17	31-32	Πυθιάς
18	32-33	Πυθιάς
19	33-37	Πυθιάς
20	38	Πυθιάς
21	39	Πυθιάς
22	40-45	Πυθιάς
23	45	Πυθιάς
24	46-47	Πυθιάς
25	48-49	Πυθιάς
26	50-51	Πυθιάς
27	51-52	Πυθιάς
28	53	Πυθιάς
29	54	Πυθιάς
30	55-56	Πυθιάς
31	57-59	Πυθιάς
32	60-61	Πυθιάς
33	62-63	Πυθιάς
34	64	Ἀπόλλων
35	64-66	Ἀπόλλων
36	67	Ἀπόλλων
37	68-70	Ἀπόλλων
38	71-73	Ἀπόλλων
39	74	Ἀπόλλων
40	75-77	Ἀπόλλων
41	78-79	Ἀπόλλων
42	79-80	Ἀπόλλων
43	81-83	Ἀπόλλων
44	84	Ἀπόλλων
45	85	Ὀρέστης
46	86	Ὀρέστης
47	87	Ὀρέστης
48	88	Ἀπόλλων
49	89-90	Ἀπόλλων
50	90-93	Ἀπόλλων
51	94	Κλυταιμήστρας Εἴδωλον
52	95-98	Κλυταιμήστρας Εἴδωλον
53	98-99	Κλυταιμήστρας Εἴδωλον
54	100-102	Κλυταιμήστρας Εἴδωλον
55	103	Κλυταιμήστρας Εἴδωλον
56	104-105	Κλυταιμήστρας Εἴδωλον
57	106-109	Κλυταιμήστρας Εἴδωλον
58	110	Κλυταιμήστρας Εἴδωλον
59	111-113	Κλυταιμήστρας Εἴδωλον
60	114-115	Κλυταιμήστρας Εἴδωλον
61	116	Κλυταιμήστρας Εἴδωλον
62	117	Χορός
63	117-118	Κλυταιμήστρας Εἴδωλον
64	119	Κλυταιμήστρας Εἴδωλον
65	120	Χορός
66	120-121	Κλυταιμήστρας Εἴδωλον
67	122-123	Κλυταιμήστρας Εἴδωλον
68	123	Χορός
69	124	Κλυταιμήστρας Εἴδωλον
70	124	Κλυταιμήστρας Εἴδωλον
71	125	Κλυταιμήστρας Εἴδωλον
72	126	Χορός
73	126-128	Κλυταιμήστρας Εἴδωλον
74	129	Χορός
75	129-130	Χορός
76	131-132	Κλυταιμήστρας Εἴδωλον
77	133	Κλυταιμήστρας Εἴδωλον
78	133-134	Κλυταιμήστρας Εἴδωλον
79	135	Κλυταιμήστρας Εἴδωλον
80	136	Κλυταιμήστρας Εἴδωλον
81	137-139	Κλυταιμήστρας Εἴδωλον
82	140	Χορός
83	141	Χορός
84	141-142	Χορός
85	143	Χορός
86	143	Χορός
87	144	Χορός
88	145-146	Χορός
89	147	Χορός
90	148	Χορός
91	149-152	Χορός
92	153	Χορός
93	154	Χορός
94	155-158	Χορός
95	160-161	Χορός
96	162-165	Χορός
97	166-167	Χορός
98	169-172	Χορός
99	174-175	Χορός
100	176-177	Χορός
101	179-184	Ἀπόλλων
102	185	Ἀπόλλων
103	186-190	Ἀπόλλων
104	190-192	Ἀπόλλων
105	192-193	Ἀπόλλων
106	193-195	Ἀπόλλων
107	196	Ἀπόλλων
108	197	Ἀπόλλων
109	198	Χορός
110	199-200	Χορός
111	201	Ἀπόλλων
112	201	Ἀπόλλων
113	202	Χορός
114	203	Ἀπόλλων
115	203	Ἀπόλλων
116	204	Χορός
117	205	Ἀπόλλων
118	206	Χορός
119	207	Ἀπόλλων
120	208	Χορός
121	209	Ἀπόλλων
122	209	Ἀπόλλων
123	210	Χορός
124	211	Ἀπόλλων
125	212	Χορός
126	213-214	Ἀπόλλων
127	215-216	Ἀπόλλων
128	217-218	Ἀπόλλων
129	219-221	Ἀπόλλων
130	222-223	Ἀπόλλων
131	224	Ἀπόλλων
132	225	Χορός
133	226	Ἀπόλλων
134	227	Χορός
135	228	Ἀπόλλων
136	229	Χορός
137	230-231	Χορός
138	232	Ἀπόλλων
139	233-234	Ἀπόλλων
140	235-239	Ὀρέστης
141	240-242	Ὀρέστης
142	243	Ὀρέστης
143	244	Χορός
144	244	Χορός
145	245	Χορός
146	246-247	Χορός
147	248-249	Χορός
148	249-251	Χορός
149	252	Χορός
150	253	Χορός
151	254-257	Χορός
152	258-260	Χορός
153	261	Χορός
154	261-263	Χορός
155	264-265	Χορός
156	265-266	Χορός
157	267-268	Χορός
158	269-272	Χορός
159	273-275	Χορός
160	276-278	Ὀρέστης
161	278-279	Ὀρέστης
162	280-281	Ὀρέστης
163	282-283	Ὀρέστης
164	284-285	Ὀρέστης
165	286	Ὀρέστης
166	287-289	Ὀρέστης
167	289-291	Ὀρέστης
168	292-298	Ὀρέστης
169	299-302	Χορός
170	303-304	UNKNOWN
171	305	Χορός
172	306	Χορός
173	307-311	Χορός
174	312	Χορός
175	313-315	Χορός
176	316-320	Χορός
177	321-323	Χορός
178	323-327	Χορός
179	328-333	Χορός
180	334-339	Χορός
181	339-340	Χορός
182	341-346	Χορός
183	349	Χορός
184	350-351	Χορός
185	354-356	Χορός
186	357-359	Χορός
187	360-362	Χορός
188	365-367	Χορός
189	354a-356a	Χορός
190	357a-359a	Χορός
191	368-371	Χορός
192	372-376	Χορός
193	377	Χορός
194	378-380	Χορός
195	372a-376a	Χορός
