SentID	Subdoc	Speaker
1	1-3	Deianeira
2	4-8	Deianeira
3	9-13	Deianeira
4	13-14	Deianeira
5	15-17	Deianeira
6	18-19	Deianeira
7	20-21	Deianeira
8	21-22	Deianeira
9	22-22	Deianeira
10	22-23	Deianeira
11	24-25	Deianeira
12	26-27	Deianeira
13	27-29	Deianeira
14	29-30	Deianeira
15	31-33	Deianeira
16	34-35	Deianeira
17	36-37	Deianeira
18	38-41	Deianeira
19	41-42	Deianeira
20	43-43	Deianeira
21	44-45	Deianeira
22	46-46	Deianeira
23	46-48	Deianeira
24	49-51	Nurse
25	52-53	Nurse
26	54-57	Nurse
27	58-60	Nurse
28	61-62	Deianeira
29	62-63	Deianeira
30	64-64	Hyllus
31	64-64	Hyllus
32	65-66	Deianeira
33	67-67	Hyllus
34	68-68	Deianeira
35	69-70	Hyllus
36	71-71	Deianeira
37	72-72	Hyllus
38	73-73	Deianeira
39	74-75	Hyllus
40	76-77	Deianeira
41	78-78	Hyllus
42	78-78	Hyllus
43	79-81	Deianeira
44	82-85	Deianeira
45	86-86	Hyllus
46	86-87	Hyllus
47	88-89	Hyllus
48	90-91	Hyllus
49	92-92	Deianeira
50	92-93	Deianeira
51	94-101	Chorus
52	102-111	Chorus
53	112-120	Chorus
54	120-121	Chorus
55	122-122	Chorus
56	125-126	Chorus
57	126-126	Chorus
58	127-130	Chorus
59	131-135	Chorus
60	136-137	Chorus
61	137-140	Chorus
62	141-142	Deianeira
63	142-143	Deianeira
64	144-150	Deianeira
65	151-152	Deianeira
66	153-153	Deianeira
67	154-154	Deianeira
68	155-160	Deianeira
69	161-168	Deianeira
70	169-172	Deianeira
71	173-174	Deianeira
72	175-177	Deianeira
73	178-178	Chorus
74	178-179	Chorus
75	180-181	Messenger
76	181-183	Messenger
77	184-184	Deianeira
78	185-186	Messenger
79	187-187	Deianeira
80	188-190	Messenger
81	190-192	Messenger
82	193-193	Messenger
83	194-194	Messenger
84	195-196	Messenger
85	197-198	Messenger
86	199-200	Messenger
87	200-200	Deianeira
88	200-201	Deianeira
89	202-204	Deianeira
90	205-209	Chorus
91	209-214	Chorus
92	215-216	Chorus
93	217-220	Chorus
94	220-220	Chorus
95	221-223	Chorus
96	225-226	Deianeira
97	227-228	Deianeira
98	229-230	Lichas
99	230-231	Lichas
100	232-233	Deianeira
101	234-235	Lichas
102	236-236	Deianeira
103	236-236	Deianeira
104	236-236	Deianeira
105	237-238	Lichas
106	239-239	Deianeira
107	240-241	Lichas
108	242-242	Deianeira
109	243-243	Deianeira
110	244-245	Lichas
111	246-247	Deianeira
112	248-250	Lichas
113	250-251	Lichas
114	252-253	Lichas
115	254-257	Lichas
116	258-260	Lichas
117	260-261	Lichas
118	262-268	Lichas
119	268-269	Lichas
120	269-273	Lichas
121	274-278	Lichas
122	278-279	Lichas
123	280-280	Lichas
124	281-283	Lichas
125	283-285	Lichas
126	285-286	Lichas
127	287-289	Lichas
128	289-290	Lichas
129	291-292	Chorus
130	293-294	Deianeira
131	295-295	Deianeira
132	296-297	Deianeira
133	298-302	Deianeira
134	303-305	Deianeira
135	306-306	Deianeira
136	307-307	Deianeira
137	308-308	Deianeira
138	308-309	Deianeira
139	310-310	Deianeira
140	311-311	Deianeira
141	312-312	Deianeira
142	312-313	Deianeira
143	314-314	Lichas
144	314-315	Lichas
145	316-316	Deianeira
146	316-316	Deianeira
147	317-317	Lichas
148	317-318	Lichas
149	318-318	Lichas
150	319-319	Lichas
151	319-319	Lichas
152	320-321	Deianeira
153	322-327	Lichas
154	327-328	Lichas
155	329-331	Deianeira
156	332-332	Deianeira
157	332-334	Deianeira
158	335-337	Messenger
159	338-338	Messenger
160	339-339	Deianeira
161	339-339	Deianeira
162	340-340	Messenger
163	340-341	Messenger
164	342-343	Deianeira
165	344-344	Messenger
166	345-345	Deianeira
167	346-348	Messenger
168	349-349	Deianeira
169	349-349	Deianeira
170	350-350	Deianeira
171	351-357	Messenger
172	358-358	Messenger
173	359-365	Messenger
174	365-368	Messenger
175	368-368	Messenger
176	368-368	Messenger
177	369-370	Messenger
178	371-373	Messenger
179	373-374	Messenger
180	375-375	Deianeira
181	376-377	Deianeira
182	377-377	Deianeira
183	377-378	Deianeira
184	379-382	Messenger
185	383-384	Chorus
186	385-385	Deianeira
187	385-386	Deianeira
188	387-388	Chorus
189	389-389	Deianeira
190	389-389	Deianeira
191	390-390	Messenger
192	390-390	Messenger
193	391-392	Deianeira
194	393-393	Lichas
195	394-394	Lichas
196	395-396	Deianeira
197	397-397	Lichas
198	398-398	Deianeira
199	399-399	Lichas
200	400-400	Deianeira
201	401-401	Lichas
202	401-401	Lichas
203	402-402	Messenger
204	402-402	Messenger
205	403-403	Lichas
206	404-404	Messenger
207	405-407	Lichas
208	408-408	Messenger
209	408-408	Messenger
210	409-409	Lichas
211	410-410	Messenger
212	410-411	Messenger
213	412-412	Lichas
214	412-412	Lichas
215	413-413	Messenger
216	413-413	Messenger
217	414-414	Lichas
218	414-414	Lichas
219	415-415	Messenger
220	416-416	Lichas
221	416-416	Lichas
222	417-417	Messenger
223	418-418	Lichas
224	418-418	Lichas
225	419-420	Messenger
226	421-421	Lichas
227	421-422	Lichas
228	423-423	Messenger
229	423-424	Messenger
230	425-425	Lichas
231	425-426	Lichas
232	427-427	Messenger
233	427-428	Messenger
234	429-429	Lichas
235	429-430	Lichas
236	431-433	Messenger
237	434-434	Lichas
238	434-435	Lichas
239	436-437	Deianeira
240	438-440	Deianeira
241	441-442	Deianeira
242	443-444	Deianeira
243	444-444	Deianeira
244	445-448	Deianeira
245	449-449	Deianeira
246	449-450	Deianeira
247	451-452	Deianeira
248	453-453	Deianeira
249	453-454	Deianeira
250	455-455	Deianeira
251	456-456	Deianeira
252	457-458	Deianeira
253	459-459	Deianeira
254	459-460	Deianeira
255	461-462	Deianeira
256	462-467	Deianeira
257	467-468	Deianeira
258	468-469	Deianeira
259	470-471	Chorus
260	472-474	Lichas
261	475-475	Lichas
262	476-478	Lichas
263	479-483	Lichas
264	484-487	Lichas
265	488-489	Lichas
266	490-492	Deianeira
267	492-495	Deianeira
268	495-496	Deianeira
269	497-497	Chorus
270	498-502	Chorus
271	503-505	Chorus
272	506-513	Chorus
273	513-514	Chorus
274	515-515	Chorus
275	516-517	Chorus
276	520-522	Chorus
277	523-525	Chorus
278	526-526	Chorus
279	527-528	Chorus
280	529-530	Chorus
281	531-535	Deianeira
282	536-538	Deianeira
283	539-540	Deianeira
284	540-542	Deianeira
285	543-544	Deianeira
286	545-546	Deianeira
287	547-548	Deianeira
288	548-549	Deianeira
289	550-551	Deianeira
290	552-553	Deianeira
291	553-554	Deianeira
292	555-561	Deianeira
293	562-565	Deianeira
294	565-567	Deianeira
295	567-568	Deianeira
296	568-569	Deianeira
297	569-571	Deianeira
298	572-577	Deianeira
299	578-581	Deianeira
300	581-581	Deianeira
301	582-583	Deianeira
302	584-587	Deianeira
303	587-587	Deianeira
304	588-589	Chorus
305	590-591	Deianeira
306	592-593	Chorus
307	594-595	Deianeira
308	595-595	Deianeira
309	596-596	Deianeira
310	596-597	Deianeira
311	598-598	Lichas
312	598-599	Lichas
313	600-603	Deianeira
314	604-609	Deianeira
315	610-613	Deianeira
316	614-615	Deianeira
317	616-617	Deianeira
318	618-619	Deianeira
319	620-623	Lichas
320	624-624	Deianeira
321	624-625	Deianeira
322	626-626	Lichas
323	627-628	Deianeira
324	629-629	Lichas
325	630-630	Deianeira
326	630-632	Deianeira
327	633-638	Chorus
328	640-642	Chorus
329	643-646	Chorus
330	647-649	Chorus
331	650-652	Chorus
332	653-654	Chorus
333	655-655	Chorus
334	655-659	Chorus
335	660-662	Chorus
336	663-664	Deianeira
337	665-665	Chorus
338	666-666	Deianeira
339	666-667	Deianeira
340	668-668	Chorus
341	669-670	Deianeira
342	671-671	Chorus
343	672-673	Deianeira
344	674-678	Deianeira
345	678-679	Deianeira
346	680-683	Deianeira
347	684-684	Deianeira
348	685-687	Deianeira
349	688-688	Deianeira
350	688-692	Deianeira
351	693-694	Deianeira
352	695-697	Deianeira
353	697-700	Deianeira
354	701-701	Deianeira
355	701-704	Deianeira
356	705-705	Deianeira
357	706-706	Deianeira
358	707-708	Deianeira
359	709-710	Deianeira
360	710-711	Deianeira
361	712-713	Deianeira
362	714-716	Deianeira
363	716-718	Deianeira
364	718-718	Deianeira
365	719-720	Deianeira
366	721-722	Deianeira
367	723-724	Chorus
368	725-726	Deianeira
369	727-728	Chorus
370	729-730	Deianeira
371	731-732	Chorus
372	732-733	Chorus
373	734-737	Hyllus
374	738-738	Deianeira
375	739-740	Hyllus
376	741-741	Deianeira
377	742-742	Hyllus
378	742-743	Hyllus
379	744-744	Deianeira
380	744-745	Deianeira
381	746-747	Hyllus
382	748-748	Deianeira
383	749-749	Hyllus
384	750-754	Hyllus
385	755-755	Hyllus
386	756-758	Hyllus
387	759-761	Hyllus
388	761-762	Hyllus
389	763-764	Hyllus
390	765-769	Hyllus
391	769-770	Hyllus
392	770-771	Hyllus
393	772-774	Hyllus
394	775-776	Hyllus
395	777-780	Hyllus
396	781-782	Hyllus
397	783-784	Hyllus
398	785-785	Hyllus
399	786-787	Hyllus
400	787-788	Hyllus
401	789-796	Hyllus
402	797-798	Hyllus
403	799-800	Hyllus
404	801-802	Hyllus
405	803-805	Hyllus
406	805-806	Hyllus
407	807-809	Hyllus
408	809-809	Hyllus
409	810-812	Hyllus
410	813-813	Chorus
411	813-814	Chorus
412	815-815	Hyllus
413	815-816	Hyllus
414	817-818	Hyllus
415	819-819	Hyllus
416	819-820	Hyllus
417	821-826	Chorus
418	826-827	Chorus
419	827-830	Chorus
420	831-837	Chorus
421	837-840	Chorus
422	841-848	Chorus
423	850-851	Chorus
424	852-852	Chorus
425	852-854	Chorus
426	855-858	Chorus
427	860-861	Chorus
428	862-863	Chorus
429	863-863	Ἡμιχόριον 1
430	864-865	Ἡμιχόριον 1
431	866-870	Ἡμιχόριον 2
432	871-872	Τροφός
433	873-873	Chorus
434	874-875	Τροφός
435	876-876	Chorus
436	877-877	Chorus
437	878-878	Chorus
438	879-879	Τροφός
439	880-880	Chorus
440	880-880	Chorus
441	881-881	Chorus
442	882-880	Τροφός
443	881-881	Chorus
444	882-883	Τροφός
445	883-885	Chorus
446	886-886	Τροφός
447	887-887	Chorus
448	888-888	Τροφός
449	890-890	Chorus
450	890-890	Chorus
451	890-890	Chorus
452	891-891	Τροφός
453	892-892	Chorus
454	893-893	Τροφός
455	894-895	Chorus
456	896-896	Τροφός
457	896-897	Τροφός
458	898-898	Τροφός
459	899-899	Τροφός
460	899-899	Τροφός
461	900-906	Τροφός
462	907-911	Τροφός
463	912-913	Τροφός
464	914-915	Τροφός
465	915-916	Τροφός
466	917-920	Τροφός
467	920-922	Τροφός
468	923-926	Τροφός
469	927-928	Τροφός
470	929-931	Τροφός
471	932-932	Τροφός
472	932-935	Τροφός
473	936-942	Τροφός
474	943-943	Τροφός
475	943-945	Τροφός
476	945-946	Τροφός
477	947-949	Chorus
478	950-951	Chorus
479	952-952	Chorus
480	953-961	Chorus
481	962-964	Chorus
482	965-966	Chorus
483	967-967	Chorus
484	968-968	Chorus
485	968-970	Chorus
486	971-971	Chorus
487	970-971	Chorus
488	972-973	Hyllus
489	974-974	Hyllus
490	974-974	Hyllus
491	974-974	Hyllus
492	975-975	Doctor
493	976-976	Doctor
494	976-976	Doctor
495	977-977	Hyllus
496	977-977	Hyllus
497	978-980	Doctor
498	981-982	Hyllus
499	982-982	Hyllus
500	983-984	Heracles
501	984-986	Heracles
502	986-986	Heracles
503	987-987	Heracles
504	987-987	Heracles
505	988-990	Doctor
506	991-992	Hyllus
507	993-995	Heracles
508	995-995	Heracles
509	996-996	Heracles
510	997-999	Heracles
511	1000-1002	Heracles
512	1003-1003	Heracles
513	1004-1006	Heracles
514	1007-1007	Heracles
515	1007-1007	Heracles
516	1008-1008	Heracles
517	1009-1009	Heracles
518	1010-1010	Heracles
519	1010-1014	Heracles
520	1015-1016	Heracles
521	1016-1016	Heracles
522	1017-1018	Doctor
523	1018-1018	Doctor
524	1018-1019	Doctor
525	1020-1022	Hyllus
526	1022-1022	Hyllus
527	1023-1023	Heracles
528	1023-1025	Heracles
529	1025-1025	Heracles
530	1026-1030	Heracles
531	1031-1031	Heracles
532	1031-1035	Heracles
533	1035-1040	Heracles
534	1040-1042	Heracles
535	1043-1045	Chorus
536	1046-1047	Heracles
537	1048-1052	Heracles
538	1053-1057	Heracles
539	1058-1061	Heracles
540	1062-1063	Heracles
541	1064-1065	Heracles
542	1066-1069	Heracles
543	1070-1070	Heracles
544	1070-1074	Heracles
545	1075-1075	Heracles
546	1076-1078	Heracles
547	1078-1078	Heracles
548	1079-1080	Heracles
549	1081-1084	Heracles
550	1085-1088	Heracles
551	1088-1089	Heracles
552	1089-1100	Heracles
553	1101-1102	Heracles
554	1103-1106	Heracles
555	1107-1109	Heracles
556	1109-1111	Heracles
557	1112-1113	Chorus
558	1114-1115	Hyllus
559	1116-1116	Hyllus
560	1117-1118	Hyllus
561	1118-1119	Hyllus
562	1120-1120	Heracles
563	1120-1121	Heracles
564	1122-1123	Hyllus
565	1124-1125	Heracles
566	1126-1126	Hyllus
567	1127-1127	Heracles
568	1128-1128	Hyllus
569	1129-1129	Heracles
570	1130-1130	Hyllus
571	1130-1130	Hyllus
572	1131-1131	Heracles
573	1131-1131	Heracles
574	1132-1132	Hyllus
575	1133-1133	Heracles
576	1133-1133	Heracles
577	1134-1134	Hyllus
578	1135-1135	Heracles
579	1135-1135	Heracles
580	1136-1136	Hyllus
581	1137-1137	Heracles
582	1138-1139	Hyllus
583	1140-1140	Heracles
584	1141-1142	Hyllus
585	1143-1143	Heracles
586	1144-1144	Heracles
587	1145-1145	Heracles
588	1146-1146	Heracles
589	1147-1150	Heracles
590	1151-1152	Hyllus
591	1153-1154	Hyllus
592	1155-1156	Hyllus
593	1157-1157	Heracles
594	1157-1158	Heracles
595	1159-1161	Heracles
596	1162-1163	Heracles
597	1164-1171	Heracles
598	1171-1171	Heracles
599	1172-1172	Heracles
600	1173-1173	Heracles
601	1174-1178	Heracles
602	1179-1180	Hyllus
603	1181-1181	Heracles
604	1182-1182	Hyllus
605	1183-1183	Heracles
606	1184-1184	Hyllus
607	1185-1185	Heracles
608	1186-1186	Hyllus
609	1186-1186	Hyllus
610	1187-1187	Heracles
611	1188-1188	Hyllus
612	1189-1189	Heracles
613	1190-1190	Hyllus
614	1190-1190	Hyllus
615	1190-1190	Hyllus
616	1191-1191	Heracles
617	1192-1192	Hyllus
618	1193-1199	Heracles
619	1199-1201	Heracles
620	1201-1202	Heracles
621	1203-1203	Hyllus
622	1203-1203	Hyllus
623	1204-1204	Heracles
624	1204-1205	Heracles
625	1206-1207	Hyllus
626	1208-1209	Heracles
627	1210-1210	Hyllus
628	1211-1211	Heracles
629	1212-1212	Hyllus
630	1213-1213	Heracles
631	1214-1214	Hyllus
632	1215-1215	Hyllus
633	1216-1216	Heracles
634	1216-1217	Heracles
635	1218-1218	Hyllus
636	1219-1219	Heracles
637	1220-1220	Hyllus
638	1221-1221	Heracles
639	1221-1221	Heracles
640	1222-1225	Heracles
641	1225-1227	Heracles
642	1228-1228	Heracles
643	1228-1229	Heracles
644	1230-1230	Hyllus
645	1230-1231	Hyllus
646	1232-1232	Heracles
647	1233-1236	Hyllus
648	1236-1237	Hyllus
649	1238-1239	Heracles
650	1239-1240	Heracles
651	1241-1241	Hyllus
652	1242-1242	Heracles
653	1243-1243	Hyllus
654	1244-1244	Heracles
655	1245-1245	Hyllus
656	1246-1246	Heracles
657	1247-1247	Hyllus
658	1248-1248	Heracles
659	1248-1248	Heracles
660	1249-1250	Hyllus
661	1250-1251	Hyllus
662	1252-1254	Heracles
663	1255-1255	Heracles
664	1255-1256	Heracles
665	1257-1258	Hyllus
666	1259-1263	Heracles
667	1264-1269	Hyllus
668	1270-1274	Hyllus
669	1275-1278	Hyllus
