SentID,Subdoc,Speaker,Speaker_EN
1,1-3,Ἀντιγόνη,Antigone
2,4-6,Ἀντιγόνη,Antigone
3,7-8,Ἀντιγόνη,Antigone
4,9-9,Ἀντιγόνη,Antigone
5,9-10,Ἀντιγόνη,Antigone
6,11-14,Ἰσμήνη,Ismene
7,15-17,Ἰσμήνη,Ismene
8,18-19,Ἀντιγόνη,Antigone
9,20-20,Ἰσμήνη,Ismene
10,20-20,Ἰσμήνη,Ismene
11,21-22,Ἀντιγόνη,Antigone
12,23-25,Ἀντιγόνη,Antigone
13,26-30,Ἀντιγόνη,Antigone
14,31-36,Ἀντιγόνη,Antigone
15,37-38,Ἀντιγόνη,Antigone
16,39-40,Ἰσμήνη,Ismene
17,41-41,Ἀντιγόνη,Antigone
18,42-42,Ἰσμήνη,Ismene
19,42-42,Ἰσμήνη,Ismene
20,43-43,Ἀντιγόνη,Antigone
21,44-44,Ἰσμήνη,Ismene
22,45-46,Ἀντιγόνη,Antigone
23,46-46,Ἀντιγόνη,Antigone
24,47-47,Ἰσμήνη,Ismene
25,48-48,Ἀντιγόνη,Antigone
26,49-49,Ἰσμήνη,Ismene
27,49-52,Ἰσμήνη,Ismene
28,53-54,Ἰσμήνη,Ismene
29,55-57,Ἰσμήνη,Ismene
30,58-60,Ἰσμήνη,Ismene
31,61-62,Ἰσμήνη,Ismene
32,63-64,Ἰσμήνη,Ismene
33,65-67,Ἰσμήνη,Ismene
34,67-68,Ἰσμήνη,Ismene
35,69-70,Ἀντιγόνη,Antigone
36,71-72,Ἀντιγόνη,Antigone
37,72-72,Ἀντιγόνη,Antigone
38,73-74,Ἀντιγόνη,Antigone
39,74-75,Ἀντιγόνη,Antigone
40,76-76,Ἀντιγόνη,Antigone
41,76-77,Ἀντιγόνη,Antigone
42,78-79,Ἰσμήνη,Ismene
43,80-80,Ἀντιγόνη,Antigone
44,80-81,Ἀντιγόνη,Antigone
45,82-82,Ἰσμήνη,Ismene
46,83-83,Ἀντιγόνη,Antigone
47,83-83,Ἀντιγόνη,Antigone
48,84-85,Ἰσμήνη,Ismene
49,86-86,Ἀντιγόνη,Antigone
50,86-87,Ἀντιγόνη,Antigone
51,88-88,Ἰσμήνη,Ismene
52,89-89,Ἀντιγόνη,Antigone
53,90-90,Ἰσμήνη,Ismene
54,90-90,Ἰσμήνη,Ismene
55,91-91,Ἀντιγόνη,Antigone
56,92-92,Ἰσμήνη,Ismene
57,93-94,Ἀντιγόνη,Antigone
58,95-96,Ἀντιγόνη,Antigone
59,96-97,Ἀντιγόνη,Antigone
60,98-98,Ἰσμήνη,Ismene
61,98-99,Ἰσμήνη,Ismene
62,100-107,Χορός,Chorus
63,110-116,Χορός,Chorus
64,117-117,Χορός,Chorus
65,118-121,Χορός,Chorus
66,121-125,Χορός,Chorus
67,126-133,Χορός,Chorus
68,134-137,Χορός,Chorus
69,138-140,Χορός,Chorus
70,141-147,Χορός,Chorus
71,148-154,Χορός,Chorus
72,155-161.1,Χορός,Chorus
73,162-163,Κρέων,Creon
74,164-169,Κρέων,Creon
75,170-174,Κρέων,Creon
76,175-177,Κρέων,Creon
77,178-181,Κρέων,Creon
78,182-183,Κρέων,Creon
79,184-190,Κρέων,Creon
80,191-193,Κρέων,Creon
81,194-197,Κρέων,Creon
82,198-206,Κρέων,Creon
83,207-208,Κρέων,Creon
84,209-210,Κρέων,Creon
85,211-212,Χορός,Chorus
86,213-214,Χορός,Chorus
87,215-215,Κρέων,Creon
88,216-216,Χορός,Chorus
89,217-217,Κρέων,Creon
90,218-218,Χορός,Chorus
91,219-219,Κρέων,Creon
92,220-220,Χορός,Chorus
93,221-221,Κρέων,Creon
94,221-222,Κρέων,Creon
95,223-224,Φύλαξ,Guard
96,225-226,Φύλαξ,Guard
97,227-227,Φύλαξ,Guard
98,228-228,Φύλαξ,Guard
99,229-229,Φύλαξ,Guard
100,229-230,Φύλαξ,Guard
101,230-230,Φύλαξ,Guard
102,231-231,Φύλαξ,Guard
103,232-232,Φύλαξ,Guard
104,233-234,Φύλαξ,Guard
105,234-234,Φύλαξ,Guard
106,235-236,Φύλαξ,Guard
107,237-237,Κρέων,Creon
108,238-238,Φύλαξ,Guard
109,238-240,Φύλαξ,Guard
110,241-242,Κρέων,Creon
111,242-242,Κρέων,Creon
112,243-243,Φύλαξ,Guard
113,244-244,Κρέων,Creon
114,245-245,Φύλαξ,Guard
115,245-247,Φύλαξ,Guard
116,248-248,Κρέων,Creon
117,248-248,Κρέων,Creon
118,249-249,Φύλαξ,Guard
119,249-250,Φύλαξ,Guard
120,250-252,Φύλαξ,Guard
121,253-254,Φύλαξ,Guard
122,255-258,Φύλαξ,Guard
123,259-261,Φύλαξ,Guard
124,262-263,Φύλαξ,Guard
125,264-267,Φύλαξ,Guard
126,268-270,Φύλαξ,Guard
127,270-272,Φύλαξ,Guard
128,272-273,Φύλαξ,Guard
129,274-275,Φύλαξ,Guard
130,276-276,Φύλαξ,Guard
131,277-277,Φύλαξ,Guard
132,278-279,Χορός,Chorus
133,280-281,Κρέων,Creon
134,282-283,Κρέων,Creon
135,284-287,Κρέων,Creon
136,288-288,Κρέων,Creon
137,289-289,Κρέων,Creon
138,289-292,Κρέων,Creon
139,293-294,Κρέων,Creon
