SentID	Subdoc	Speaker
1	1-2	Ἀθήνα
2	3-7	Ἀθήνα
3	7-8	Ἀθήνα
4	9-10	Ἀθήνα
5	11-13	Ἀθήνα
6	14-17	Ὀδυσσεύς
7	18-19	Ὀδυσσεύς
8	20-20	Ὀδυσσεύς
9	21-22	Ὀδυσσεύς
10	23-23	Ὀδυσσεύς
11	24-24	Ὀδυσσεύς
12	25-27	Ὀδυσσεύς
13	28-28	Ὀδυσσεύς
14	29-31	Ὀδυσσεύς
15	31-33	Ὀδυσσεύς
16	34-34	Ὀδυσσεύς
17	34-35	Ὀδυσσεύς
18	36-37	Ἀθήνα
19	38-38	Ὀδυσσεύς
20	39-39	Ἀθήνα
21	40-40	Ὀδυσσεύς
22	41-41	Ἀθήνα
23	42-42	Ὀδυσσεύς
24	43-43	Ἀθήνα
25	44-44	Ὀδυσσεύς
26	45-45	Ἀθήνα
27	46-46	Ὀδυσσεύς
28	47-47	Ἀθήνα
29	48-48	Ὀδυσσεύς
30	49-49	Ἀθήνα
31	50-50	Ὀδυσσεύς
32	51-54	Ἀθήνα
33	55-56	Ἀθήνα
34	56-58	Ἀθήνα
35	59-60	Ἀθήνα
36	61-65	Ἀθήνα
37	66-67	Ἀθήνα
38	68-69	Ἀθήνα
39	69-70	Ἀθήνα
40	71-72	Ἀθήνα
41	73-73	Ἀθήνα
42	73-73	Ἀθήνα
43	74-74	Ὀδυσσεύς
44	74-74	Ὀδυσσεύς
45	75-75	Ἀθήνα
46	76-76	Ὀδυσσεύς
47	77-77	Ἀθήνα
48	77-77	Ἀθήνα
49	78-78	Ὀδυσσεύς
50	79-79	Ἀθήνα
51	80-80	Ὀδυσσεύς
52	81-81	Ἀθήνα
53	82-82	Ὀδυσσεύς
54	83-83	Ἀθήνα
55	84-84	Ὀδυσσεύς
56	85-85	Ἀθήνα
57	86-86	Ὀδυσσεύς
58	87-87	Ἀθήνα
59	88-88	Ὀδυσσεύς
60	88-88	Ὀδυσσεύς
61	89-89	Ἀθήνα
62	90-90	Ἀθήνα
63	91-92	Αἴας
64	92-93	Αἴας
65	94-94	Ἀθήνα
66	94-95	Ἀθήνα
67	96-96	Αἴας
68	97-97	Ἀθήνα
69	98-98	Αἴας
70	99-99	Ἀθήνα
71	100-100	Αἴας
72	101-102	Ἀθήνα
73	102-102	Ἀθήνα
74	103-103	Αἴας
75	104-104	Ἀθήνα
76	104-104	Ἀθήνα
77	105-106	Αἴας
78	106-106	Αἴας
79	107-107	Ἀθήνα
80	108-108	Αἴας
81	109-109	Ἀθήνα
82	110-110	Αἴας
83	111-111	Ἀθήνα
84	112-112	Αἴας
85	113-113	Αἴας
86	114-115	Ἀθήνα
87	116-116	Αἴας
88	116-117	Αἴας
89	118-118	Ἀθήνα
90	119-120	Ἀθήνα
91	121-121	Ὀδυσσεύς
92	121-124	Ὀδυσσεύς
93	125-126	Ὀδυσσεύς
94	127-130	Ἀθήνα
95	131-132	Ἀθήνα
96	132-133	Ἀθήνα
97	134-136	Χορός
98	137-140	Χορός
99	141-147	Χορός
100	148-150	Χορός
101	150-153	Χορός
102	154-155	Χορός
103	155-156	Χορός
104	157-157	Χορός
105	158-159	Χορός
106	160-161	Χορός
107	162-163	Χορός
108	164-166	Χορός
109	167-168	Χορός
110	169-171	Χορός
111	172-178	Χορός
112	179-181	Χορός
113	182-185	Χορός
114	186-186	Χορός
115	186-187	Χορός
116	188-192	Χορός
117	193-195	Χορός
118	196-199	Χορός
119	200-200	Χορός
120	201-204	Τέκμησσα
121	205-207	Τέκμησσα
122	208-210	Χορός
123	211-213	Χορός
124	214-214	Τέκμησσα
125	215-215	Τέκμησσα
126	216-216	Τέκμησσα
127	217-218	Τέκμησσα
128	219-220	Τέκμησσα
129	221-226	Χορός
130	227-227	Χορός
131	227-230	Χορός
132	231-231	Χορός
133	231-232	Χορός
134	235-236	Τέκμησσα
135	237-244	Τέκμησσα
136	245-250	Χορός
137	251-252	Χορός
138	252-255	Χορός
139	256-256	Τέκμησσα
140	256-258	Τέκμησσα
141	260-262	Τέκμησσα
142	263-263	Χορός
143	264-264	Χορός
144	265-267	Τέκμησσα
145	268-268	Χορός
146	269-269	Τέκμησσα
147	270-270	Χορός
148	270-270	Χορός
149	271-273	Τέκμησσα
150	274-276	Τέκμησσα
151	277-277	Τέκμησσα
152	278-279	Χορός
153	279-280	Χορός
154	281-281	Τέκμησσα
155	282-282	Χορός
156	283-283	Χορός
157	284-284	Τέκμησσα
158	285-287	Τέκμησσα
159	288-288	Τέκμησσα
160	288-289	Τέκμησσα
161	289-291	Τέκμησσα
162	291-291	Τέκμησσα
163	292-292	Τέκμησσα
164	293-293	Τέκμησσα
165	294-294	Τέκμησσα
166	295-295	Τέκμησσα
167	296-297	Τέκμησσα
168	298-300	Τέκμησσα
169	301-304	Τέκμησσα
170	305-308	Τέκμησσα
171	308-310	Τέκμησσα
172	311-311	Τέκμησσα
173	312-314	Τέκμησσα
174	315-316	Τέκμησσα
175	317-318	Τέκμησσα
176	319-320	Τέκμησσα
177	321-322	Τέκμησσα
178	323-325	Τέκμησσα
179	326-326	Τέκμησσα
180	327-327	Τέκμησσα
181	328-329	Τέκμησσα
182	330-330	Τέκμησσα
183	331-332	Χορός
184	333-333	Αἴας
185	334-334	Τέκμησσα
186	334-335	Τέκμησσα
187	336-336	Αἴας
188	337-338	Χορός
189	339-339	Αἴας
190	340-340	Τέκμησσα
191	340-340	Τέκμησσα
192	341-341	Τέκμησσα
193	341-341	Τέκμησσα
194	341-341	Τέκμησσα
195	342-342	Αἴας
196	342-342	Αἴας
197	342-343	Αἴας
198	344-344	Χορός
199	344-344	Χορός
200	345-345	Χορός
201	346-346	Τέκμησσα
202	346-347	Τέκμησσα
203	348-352	Αἴας
204	353-353	Χορός
205	355-355	Χορός
206	356-360	Αἴας
207	361-361	Αἴας
208	362-362	Χορός
209	362-363	Χορός
210	364-366	Αἴας
211	367-367	Αἴας
212	368-368	Τέκμησσα
213	369-369	Αἴας
214	369-369	Αἴας
215	370-370	Αἴας
216	371-371	Χορός
217	372-376	Αἴας
218	377-377	Χορός
219	378-378	Χορός
220	379-382	Αἴας
221	383-383	Χορός
222	384-384	Αἴας
223	385-385	Αἴας
224	386-386	Χορός
225	386-386	Χορός
226	387-391	Αἴας
227	392-393	Τέκμησσα
228	393-393	Τέκμησσα
229	394-398	Αἴας
230	398-400	Αἴας
231	401-403	Αἴας
232	404-404	Αἴας
233	405-405	Αἴας
234	405-408	Αἴας
235	410-411	Τέκμησσα
236	412-415	Αἴας
237	415-416	Αἴας
238	416-416	Αἴας
239	417-426	Αἴας
240	426-427	Αἴας
241	428-429	Χορός
242	430-430	Αἴας
243	430-431	Αἴας
244	432-433	Αἴας
245	433-433	Αἴας
246	434-436	Αἴας
247	437-440	Αἴας
248	441-441	Αἴας
249	442-444	Αἴας
250	445-446	Αἴας
251	447-449	Αἴας
252	450-453	Αἴας
253	454-455	Αἴας
254	455-456	Αἴας
255	457-457	Αἴας
256	457-459	Αἴας
257	460-461	Αἴας
258	462-463	Αἴας
259	463-465	Αἴας
260	466-466	Αἴας
261	466-468	Αἴας
262	469-469	Αἴας
263	470-470	Αἴας
264	470-472	Αἴας
265	473-474	Αἴας
266	475-476	Αἴας
267	477-478	Αἴας
268	479-480	Αἴας
269	480-480	Αἴας
270	481-482	Χορός
271	483-484	Χορός
272	485-486	Τέκμησσα
273	487-488	Τέκμησσα
274	489-489	Τέκμησσα
275	489-490	Τέκμησσα
276	490-495	Τέκμησσα
277	496-499	Τέκμησσα
278	500-501	Τέκμησσα
279	501-503	Τέκμησσα
280	504-504	Τέκμησσα
281	504-505	Τέκμησσα
282	506-509	Τέκμησσα
283	510-513	Τέκμησσα
284	514-515	Τέκμησσα
285	515-517	Τέκμησσα
286	518-518	Τέκμησσα
287	519-519	Τέκμησσα
288	519-519	Τέκμησσα
289	520-520	Τέκμησσα
290	520-521	Τέκμησσα
291	522-522	Τέκμησσα
292	523-524	Τέκμησσα
293	525-526	Χορός
294	526-526	Χορός
295	527-528	Αἴας
296	529-529	Τέκμησσα
297	530-530	Αἴας
298	531-531	Τέκμησσα
299	532-532	Αἴας
300	532-532	Αἴας
301	533-533	Τέκμησσα
302	534-534	Αἴας
303	535-535	Τέκμησσα
304	536-536	Αἴας
305	537-537	Τέκμησσα
306	538-538	Αἴας
307	539-539	Τέκμησσα
308	540-540	Αἴας
309	541-541	Τέκμησσα
310	541-542	Τέκμησσα
311	543-543	Αἴας
312	544-544	Τέκμησσα
313	545-545	Αἴας
314	545-547	Αἴας
315	548-549	Αἴας
316	550-551	Αἴας
317	551-551	Αἴας
318	552-553	Αἴας
319	554-556	Αἴας
320	557-558	Αἴας
321	559-560	Αἴας
322	560-561	Αἴας
323	562-564	Αἴας
324	565-573	Αἴας
325	574-576	Αἴας
326	577-577	Αἴας
327	578-580	Αἴας
328	580-580	Αἴας
329	581-581	Αἴας
330	581-582	Αἴας
331	583-583	Χορός
332	584-584	Χορός
333	585-585	Τέκμησσα
334	586-586	Αἴας
335	586-586	Αἴας
336	587-587	Τέκμησσα
337	587-588	Τέκμησσα
338	589-589	Αἴας
339	589-590	Αἴας
340	591-591	Τέκμησσα
341	592-592	Αἴας
342	593-593	Τέκμησσα
343	594-594	Αἴας
